[header]
width=110
height=25
tilewidth=32
tileheight=32
orientation=orthogonal

[tilesets]
tileset=CS3113/assets/sprite_sheets/platformertiles.png,32,32,0,0

[layer]
type=Tile Layer 1
data=
12,12,12,12,12,12,12,12,12,12,12,12,12,12,16,12,12,12,12,12,14,12,12,12,12,12,12,12,12,12,12,12,12,16,12,12,12,12,12,12,12,12,12,12,12,12,12,14,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,14,12,12,12,14,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,
12,15,14,12,12,12,12,12,12,12,14,12,14,12,12,12,12,12,12,12,12,12,12,12,14,12,12,12,15,12,15,12,12,12,12,12,14,12,12,12,12,12,16,12,12,12,12,12,12,12,12,12,12,16,12,12,12,12,12,12,16,12,12,12,12,12,12,12,12,14,12,12,12,16,12,12,12,12,12,12,12,12,12,12,12,12,14,12,12,12,12,16,12,12,12,15,12,12,12,15,12,12,12,12,12,12,14,12,14,12,
14,12,12,15,12,12,12,15,12,12,12,12,12,12,12,12,12,16,12,12,12,12,12,12,12,12,12,12,12,12,12,12,14,12,12,12,12,12,12,14,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,14,12,12,12,12,12,12,12,12,12,14,12,15,12,12,12,16,12,12,12,12,12,12,12,12,12,12,12,12,14,12,12,14,12,12,12,12,12,12,22,12,12,12,12,12,12,14,12,12,12,12,12,12,12,12,
12,12,12,12,12,12,12,14,12,12,12,12,12,12,12,12,12,12,12,12,16,12,12,12,12,12,16,12,12,15,12,12,12,12,12,12,12,12,12,12,12,12,12,12,16,12,12,12,12,12,15,15,12,12,12,12,12,12,12,12,12,12,12,16,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,14,12,12,14,12,12,12,12,12,12,12,16,12,12,23,5,23,12,12,12,12,12,12,12,12,14,12,12,12,12,12,
12,12,12,12,12,12,12,12,12,12,16,12,12,12,12,14,15,12,12,12,12,12,12,14,12,12,12,12,12,12,12,12,12,12,15,12,12,15,12,12,12,12,12,14,12,12,12,12,15,15,12,12,12,12,12,12,16,12,12,12,14,12,12,12,12,12,12,12,12,12,12,12,12,16,12,12,12,12,12,12,12,12,12,12,12,12,12,12,22,12,12,12,1,2,7,2,2,3,12,12,12,12,14,12,12,12,12,12,4,12,
12,12,14,12,12,15,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,14,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,15,12,12,12,12,12,12,12,12,12,12,12,12,12,15,12,12,12,12,16,12,12,14,12,14,12,12,12,12,0,22,22,12,1,2,3,12,12,17,18,18,18,18,19,12,12,16,12,12,12,12,12,15,12,12,12,
12,12,12,12,12,12,12,12,12,12,12,12,12,16,12,12,12,12,12,12,12,15,12,12,16,12,4,12,12,12,12,12,15,12,12,12,12,12,12,15,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,14,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,14,12,12,1,2,3,12,17,18,19,12,12,24,12,12,24,24,24,12,12,12,12,12,15,12,12,22,22,22,12,
12,12,12,15,12,12,12,12,15,12,12,12,12,12,12,12,16,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,14,12,23,12,12,22,22,12,12,14,12,12,12,12,12,12,12,12,12,12,12,12,23,22,22,12,12,12,12,12,12,12,12,12,12,22,12,12,12,12,12,12,12,12,12,12,12,17,18,19,12,12,24,24,12,12,16,12,12,14,12,12,14,12,12,12,12,12,12,1,2,2,2,3,
12,12,12,12,12,12,12,12,12,12,12,23,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,1,2,2,2,2,3,12,12,12,12,12,12,12,23,12,12,12,12,12,12,1,2,2,2,2,3,12,12,12,16,12,23,1,3,12,12,22,12,12,12,12,12,22,12,12,24,14,12,12,12,14,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,9,10,10,10,11,
2,2,2,2,2,2,2,2,2,2,2,3,12,12,12,12,12,12,12,14,15,12,12,12,12,22,22,22,12,22,22,22,12,12,12,12,12,12,9,10,10,10,10,11,12,12,12,14,12,12,12,1,2,3,12,12,12,12,9,10,10,10,10,11,12,12,12,12,23,1,8,11,15,12,1,2,2,2,2,2,3,12,12,12,12,12,12,12,12,14,12,12,12,12,12,14,12,12,12,12,12,12,15,12,12,9,10,10,10,11,
